Numeric code,Alpha code,Summary,Description,Category
108,AAX,OTRAS,,AUTORIDADES
112,CST,SERVICIO DE RAMPA,RETRASO EN EL SERVICIO DEL TRACTOR DE ARRASTRE POR FALTA O FALLA DEL EQUIPO/ MAL PROCEDIMIENTO,COMPAÑÍA (AEROLÍNEA)
149,CRF,SISTEMAS ,FALLA DEL SISTEMA DE DOCUMENTACIÓN ,COMPAÑÍA (AEROLÍNEA) 
154,CVV,SOLICITUD TARDÍA DE SERVICIOS ,,COMPAÑÍA (AEROLÍNEA) 
157,EWE,METEOROLOGÍA ,VIENTOS EN CONTRA ,EVENTO CIRCUNSTANCIAL 
160,EWO,METEOROLOGÍA ,EN EL AEROPUERTO DE ORIGEN ,EVENTO CIRCUNSTANCIAL 
161,EWX,METEOROLOGÍA ,OTRO,EVENTO CIRCUNSTANCIAL 
162,ESB,PROCEDIMIENTO DE SEGURIDAD ,AMENAZA DE BOMBA ,EVENTO CIRCUNSTANCIAL 
165,EPD,OCASIONADO POR PAX ,PROCESO DE PASAJERO A BORDO ,EVENTO CIRCUNSTANCIAL 
169,IGO,GEOMETRÍA DEL AEROPUERTO ,CONGESTIONAMIENTO DEL ÁREA DE MOVIMIENTO ,INFRAESTRUCTURA AEROPORTUARIA 
179,IML,INFRAESTRUCTURA ,DEMORAS OCASIONADAS POR FALTA O INADECUADA LIMPIEZA DE LAS ÁREAS OPERACIONALES ,INFRAESTRUCTURA AEROPORTUARIA 
183,ROA,ORIGINADA EN EL AIFA ,,REPERCUSIÓN 
191,SPD,SERVICIO DE PASILLO ,DEMORA EN LA PRESTACIÓN DEL SERVICIO ,SERVICIOS AEROPORTUARIOS 
192,SPX,SERVICIO DE PASILLO ,OTRO,SERVICIOS AEROPORTUARIOS 
193,SAE,SERVICIO DE AEROCARES ,FALLA DE EQUIPO ,SERVICIOS AEROPORTUARIOS 
194,SAO,SERVICIO DE AEROCARES ,FALTA DEL OPERADOR ,SERVICIOS AEROPORTUARIOS 
195,SAD,SERVICIO DE AEROCARES ,DEMORA EN LA PRESTACIÓN DEL SERVICIO ,SERVICIOS AEROPORTUARIOS 
202,SGX,ASIGNACIÓN DE POSICIONES ,OTRO ,SERVICIOS AEROPORTUARIOS 
204,SVP,SEGURIDAD Y VIGILANCIA ,FALTA O INSUFICIENCIA DE PERSONAL ,SERVICIOS AEROPORTUARIOS 
105,AAN,SEGURIDAD NACIONAL,,AUTORIDAD
122,COT,OPERACIONES,TRANSPORTACIÓN DE TRIPULACIÓN,COMPAÑÍA (AEROLÍNEA)
107,AAF,AUTORIDAD INVESTIGADORA,,AUTORIDADES
126,CCT,CONTROL OPERACIONAL,OCASIONA ERRÓNEA DE TRIPULACIÓN,COMPAÑÍA (AEROLÍNEA)
118,CEM,EXPRESS Y CARGA,EMBALAJE ERRÓNEO O INADECUADO.,COMPAÑÍA (AEROLÍNEA) 
119,CEG,EXPRESS Y CARGA,FALTA DE GUÍAS DE CARGA QUE SE TRANSPORTA ,COMPAÑÍA (AEROLÍNEA) 
121,CEX,EXPRESS Y CARGA,OTRO,COMPAÑÍA (AEROLÍNEA) 
128,CCD,CONTROL OPERACIONAL,"DOCUMENTACIÓN DE VUELO, FALTA O CORRECCIÓN DE ESTA (PLAN DE VUELO).",COMPAÑÍA (AEROLÍNEA) 
129,CCC,CONTROL OPERACIONAL ,CAMBIO DE EQUIPO POR  RAZONES TECNICAS,COMPAÑÍA (AEROLÍNEA) 
135,CMC,MANTENIMIENTO,CAMBIO DE EQUIPO POR RAZONES DE MANTENIMIENTO ,COMPAÑÍA (AEROLÍNEA) 
140,CPE,TRIPULACIÓN ,"PETICIÓN ESPECIAL DE LA TRIPULACIÓN  (RECARGA DE COMBUSTIBLE, COMISARIATOS ETC.)",COMPAÑÍA (AEROLÍNEA) 
151,CFT,COMISARIATO ,PRESENTANDOSE TARDE,COMPAÑÍA (AEROLÍNEA) 
152,CFF,COMISARIATO,FALTA DE ALIMENTOS ,COMPAÑÍA (AEROLÍNEA) 
156,EWF,METEOROLOGÍA ,VIENTOS A FAVOR ,EVENTO CIRCUNSTANCIAL 
158,EWD,METEOROLOGÍA ,EN EL AEROPUERTO DE DESTINO ,EVENTO CIRCUNSTANCIAL 
159,EWP,METEOROLOGÍA ,CAMBIO DE PISTA ,EVENTO CIRCUNSTANCIAL 
164,EPC,OCASIONADO POR PAX ,PASAJERO CONFLICTIVO ,EVENTO CIRCUNSTANCIAL 
171,IGX,GEOMETRÍA DEL AEROPUERTO ,OTRO ,INFRAESTRUCTURA AEROPORTUARIA  
172,ILP,LIMITACIONES DEL EDIFICIO TERMINAL ,FALTA DE POSICIONES SUFICIENTES PARA ABORDADOR MECÁNICO ,INFRAESTRUCTURA AEROPORTUARIA 
173,ILF,LIMITACIONES DEL EDIFICIO TERMINAL ,SATURACIÓN DE FILTROS DE SEGURIDAD POR MOTIVOS DE INFRAESTRUCTURA ,INFRAESTRUCTURA AEROPORTUARIA 
174,ILT,LIMITACIONES DEL EDIFICIO TERMINAL ,POR INFORMACIÓN ERRÓNEA POR EL SISTEMA DE VOCEO Y PANTALLAS DE INFORMACIÓN DE VUELO.,INFRAESTRUCTURA AEROPORTUARIA  
175,ILV,LIMITACIONES DE EDIFICIO TERMINAL ,INADECUADA SEÑALIZACIÓN VISUAL DE PASAJEROS ,INFRAESTRUCTURA AEROPORTUARIA  
176,ILX,LIMITACIONES DEL EDIFICIO TERMINAL ,OTRO ,INFRAESTRUCTURA AEROPORTUARIA 
177,IMO,INFRAESTRUCTURA ,MANTENIMIENTO DE LAS ÁREAS OPERACIONALES ,INFRAESTRUCTURA AEROPORTUARIA 
178,IME,INFRAESTRUCTURA ,MANTENIMIENTO DEL EDIFICIO TERMINAL ,INFRAESTRUCTURA AEROPORTUARIA 
182,PAI,INCIDENTE ,,PERCANCES 
184,ROF,ORIGINADA FUERA DEL AIFA ,"Demora fue debido a salida tardía de aeropuerto de origen.		
",REPERCUSIÓN 
186,STA,SERVICIO DE TRANSITO AÉREO ,FALLA ORIGINADA EN EL AIFA,SERVICIOS AEROPORTUARIOS 
187,STF,SERVICIO DE TRANSITO AÉREO ,FALLA ORIGINADA FUERA DEL AIFA ,SERVICIOS AEROPORTUARIOS 
189,SPE,SERVICIO DE PASILLO ,FALLA DE EQUIPO ,SERVICIOS AEROPORTUARIOS 
196,SAX,SERVICIO DE AEROCARES ,OTRO ,SERVICIOS AEROPORTUARIOS 
203,SVE,SEGURIDAD Y VIGILANCIA ,FALTA O FALLA DE LOS EQUIPOS DE REVISIÓN ,SERVICIOS AEROPORTUARIOS 
205,SVX,SEGURIDAD Y VIGILANCIA ,OTRO ,SERVICIOS AEROPORTUARIOS 
103,AAJ,AUTORIDAD JUDICIAL,,AUTORIDADES
100,AAA,AUTORIDAD AERONAUTICA,,AUTORIDADES
102,AAD,AUTORIDAD ADUANAL,,AUTORIDADES
104,AAS,AUTORIDAD SANITARIA,,AUTORIDAD
109,CSC,SERVICIO DE RAMPA,LENTITUD EN LA CARGA/ DESCARGA DEL AVIÓN POR FALTA O INSUFICIENCIA DEL PERSONAL/ COMPLICACIÓN POR LA CARGA,COMPAÑIA
110,CSF,SERVICIO DE RAMPA,FALTA O FALLA DEL EQUIPO DE APOYO DE TIERRA,COMPAÑÍA (AEROLÍNEA)
111,CSL,SERVICIO DE RAMPA,RETRASO DE LA LIMPIEZA DEL AVIÓN,COMPAÑÍA (AEROLÍNEA)
113,CSA,SERVICIO DE RAMPA,RETRASO DE SERVICIO DE AGUAS NEGRAS Y POTABLE POR FALTA O FALLA DEL EQUIPO/ FALTA DE AGUA POTABLE / ETC,COMPAÑÍA (AEROLÍNEA)
114,CSE,SERVICIO DE RAMPA,RETRASO EN EL SERVICIO DE ESCALERILLA,COMPAÑÍA (AEROLÍNEA)
115,CSX,SERVICIO DE RAMPA,OTRO,COMPAÑÍA (AEROLÍNEA)
123,COM,OPERACIONES,MANIFIESTO DE CARGA Y BALANCE (RETRASO O ERROR EN EL MISMO),COMPAÑÍA (AEROLÍNEA)
124,COX,OPERACIONES,OTRO,COMPAÑÍA (AEROLÍNEA)
125,CCA,OPERACIONES,CONVENIENCIA DE LA COMPAÑÍA AÉREA,COMPAÑÍA (AEROLÍNEA)
127,CCE,CONTROL OPERACIONAL,ASIGNACIÓN ERRÓNEA DE EQUIPO,COMPAÑÍA (AEROLÍNEA)
116,CEC,EXPRESS Y CARGA,CIERRE TARDE DEL VUELO POR ESPERA DE CARGA MENSAJERÍA O CORREO ,COMPAÑIA (AEROLINEA)
117,CEE,EXPRESS Y CARGA,"ERRORES DOCUMENTACIÓN,  MATERIAL DOCUMENTADO NO PERMITIDO ETC.",COMPAÑÍA (AEROLÍNEA) 
120,CES,EXPRESS Y CARGA ,SOBREVENTA DE LOS ESPACIOS DE CARGA ,COMPAÑÍA (AEROLÍNEA) 
130,CCX,CONTROL OPERACIONAL,OTRO,COMPAÑÍA (AEROLÍNEA) 
131,CMP,MANTENIMIENTO,MANTENIMIENTO PROGRAMADO (LIBERACIÓN TARDÍA DEL HANGAR),COMPAÑÍA (AEROLÍNEA) 
132,CMN,MANTENIMIENTO,MANTENIMIENTO NO PROGRAMADO. (CUALQUIER TIPO DE FALLA QUE SE PRESENTE DURANTE LA OPERACIÓN DEL VUELO),COMPAÑÍA (AEROLÍNEA) 
133,CMR,MANTENIMIENTO,REFACCIONES Y EQUIPO DE MANTENIMIENTO (FALTA O FALLA),COMPAÑÍA (AEROLÍNEA) 
134,CMA,MANTENIMIENTO ,"FALLA TÉCNICO-ADMINISTRATIVA (FALTA DE BITÁCORA, CERTIFICADO ETC.)",COMPAÑÍA (AEROLÍNEA) 
136,CMX,MANTENIMIENTO ,OTRO ,COMPAÑÍA (AEROLÍNEA) 
137,CPR,TRIPULACIÓN ,ESPERANDO TRIPULACIÓN DE RESERVA ,COMPAÑÍA (AEROLÍNEA) 
138,CPT,TRIPULACIÓN ,TRIPULACIÓN PRESENTÁNDOSE TARDE ,COMPAÑÍA (AEROLÍNEA) 
139,CPP,TRIPULACIÓN ,CAMBIO DE TRIPULACIÓN (TÉCNICA Y/O SERVICIO),COMPAÑÍA (AEROLÍNEA) 
141,CPX,TRIPULACIÓN ,OTRO,COMPAÑÍA (AEROLÍNEA) 
142,CTB,TRAFICO ,"ABORDAJE (PASAJERO MAL ABORDADO, ABORDAJE LENTO, DISCREPANCIA EN NUMERO DE PASAJEROS ETC.)",COMPAÑÍA (AEROLÍNEA) 
143,CTL,TRAFICO ,LOCALIZACIÓN O ESPERA DE PASAJEROS EN TRANSITO,COMPAÑÍA (AEROLÍNEA) 
144,CTD,TRAFICO ,"DOCUMENTACIÓN (ERRORES AL DOCUMENTAR, CIERRE TARDE DEL VUELO, ETC.)",COMPAÑÍA (AEROLÍNEA) 
145,CTE,TRAFICO ,"MANEJO DE EQUIPAJE (BAJANDO EQUIPAJES VOLUMINOSOS, BAJANDO EQUIPAJE DE PASAJERO QUE NO ABORDÓ, ETC) ",COMPAÑÍA (AEROLÍNEA) 
146,CTP,TRAFICO ,MANEJO DE PASAJERO DISCAPACITADO ,COMPAÑÍA (AEROLÍNEA) 
147,CTS,TRAFICO ,SOBREVENTA ,COMPAÑÍA (AEROLÍNEA) 
148,CTX,TRAFICO ,OTRO,COMPAÑÍA (AEROLÍNEA) 
150,CRX,SISTEMAS ,OTRO,COMPAÑÍA (AEROLÍNEA) 
153,CFX,COMISARIATO,OTRO,COMPAÑÍA (AEROLÍNEA) 
155,EWA,METEOROLOGÍA ,EN EL AIFA,EVENTO CIRCUNSTANCIAL 
163,ESX,PROCEDIMIENTO DE SEGURIDAD ,OTRO ,EVENTO CIRCUNSTANCIAL 
166,EPE,OCASIONADO POR PAX ,PASAJERO DELICADO POR ENFERMEDAD O DISCAPACIDAD ,EVENTO CIRCUNSTANCIAL 
167,EPX,OCASIONADO POR PAX ,OTRO ,EVENTO CIRCUNSTANCIAL 
168,EXX,OTRO NO CODIFICADO ,,EVENTO CIRCUNSTANCIAL 
170,IGR,GEOMETRÍA DEL AEROPUERTO ,AERONAVE REMOLCADA ,INFRAESTRUCTURA AEROPORTUARIA 
180,IMX,INFRAESTRUCTURA ,OTRO ,INFRAESTRUCTURA AEROPORTUARIA 
181,PAC,ACCIDENTE ,,PERCANCES 
185,R,REPERCUSIÓN ,,REPERCUSIÓN 
188,STX,SERVICIO DE TRANSITO AÉREO ,OTRO ,SERVICIOS AEROPORTUARIOS 
190,SPO,SERVICIO DE PASILLO ,FALTA O ERROR DEL OPERADOR ,SERVICIOS AEROPORTUARIOS 
197,SCE,SERVICIO DE COMBUSTIBLE ,FALLA DEL EQUIPO ,SERVICIOS AEROPORTUARIOS 
198,SCO,SERVICIO DE COMBUSTIBLE ,FALTA DEL OPERADOR ,SERVICIOS AEROPORTUARIOS 
199,SCD,SERVICIO DE COMBUSTIBLE ,DEMORA EN LA PRESTACIÓN DEL SERVICIO ,SERVICIOS AEROPORTUARIOS 
200,SCX,SERVICIO DE COMBUSTIBLE ,OTRO ,SERVICIOS AEROPORTUARIOS  
201,SGE,ASIGNACIÓN DE POSICIONES ,ERROR EN LA ASIGNACIÓN DE POSICIONES ,SERVICIOS AEROPORTUARIOS 
